순번,용어,분야,영문,설명
488,HFP,District Heating,Hydraulic Fluid Pump,작동유 펌프
489,Hg,District Heating,Hydraurgyrum(Mercury),수은
490,HGPI,District Heating,Hot Gas Path Inspection,가스터빈 고온부 점검
491,HH,District Heating,High High,고수위
492,HHV,District Heating,High Heating Value(=GHV),고위발열량
493,HOB,District Heating,Heat Only Boiler,열전용보일러
494,HP,District Heating,High Pressure,고압
495,HP,District Heating,Horse Power,마력
496,HPES,District Heating,Human Performance Evaluation System,인적요인 분석시스템
497,HPH,District Heating,High Pressure Heater,고압급수가열기
498,HR,District Heating,Heat Rate,열소비율(Kcal/Kwh)
499,HR,District Heating,Human Resource,인적자원관리
500,HRSG,District Heating,Heat Recovery Steam Generator,배열회수 증기발생기
501,HS,District Heating,Hand Switch,조작스위치
502,HSFV,District Heating,Heating Steam Feed Valve,가열증기 공급밸브
503,HSPV,District Heating,Heating Steam Pressure Valve,가열증기 가압밸브
504,HT,District Heating,Hydro Test,수압시험
505,HTG,District Heating,Heating,가열
506,HTR,District Heating,Heater,가열기
507,HV,District Heating,Pneumatic On-off Valve,공기식 차단밸브
508,HV,District Heating,On-off Type Valve,차단밸브
509,HVAC,District Heating,Heating Ventilating & Air Conditioning,공기조화설비
510,HVDC,District Heating,High Voltage Direct Current,고압직류
511,HVT,District Heating,High Velocity Thermocouple,고속열전대
512,Hz,District Heating,Hertz,주파수의 단위(C/S)
513,IA,District Heating,Instrument Air,공정용공기
514,IAC,District Heating,Instrument Air Compressor,제어용 공기압축기
515,IASB,District Heating,International Accounting Standards Board,국제회계기준위원회
516,IC,District Heating,Integrated Circuit,집적회로
517,IC,District Heating,Invested Capital,투하자본
518,I&C,District Heating,Instrument & Control,계측제어
519,ICFR,District Heating,Internal Controls over Financial Reporting,재무보고 내부통제
520,ICV,District Heating,Intermediate Control Valve,중압터빈 제어밸브
521,ID,District Heating,Inner Diameter,내경(內徑)
522,IDC,District Heating,Interest During Construction,건설중 이자
523,IDEA,District Heating,International District Energy Association,국제지역에너지협회
524,IDF,District Heating,Induced Draft Fan,유입통풍기
525,ID No.,District Heating,Identification Number,분류번호
526,IDT,District Heating,Initial Deformation Temperature,최소변형점(온도)
527,IEA,District Heating,International Energy Agency,국제에너지기구
528,IF,District Heating,Initial Firing,최초점화
529,IFB,District Heating,Insulating Fire Brick,절연내화벽돌
530,IGCC,District Heating,Integrated Coal Gasification Combined Cycle,석탄가스화 복합사이클
531,IGFC,District Heating,Integrated Gasification Fuel Cell,가스화 복합 연료전지
532,IGV,District Heating,Inlet Guide Vane,가스터빈 입구 안내날개
533,I/L,District Heating,Import License,수입면장
534,IMT,District Heating,Intermediate Meeting,공정회의
535,INC.,District Heating,Incinerator,소각로
536,Inj.,District Heating,Injection,주입
537,I/O,District Heating,Input Output,입출력
538,IP,District Heating,Intermediate Pressure,중압
539,IPB,District Heating,Isolated Phase Bus,상분리모선
540,IPC,District Heating,Inlet Pressure Controller,입구 압력조정기
541,IPL,District Heating,Inlet Pressure Limiter,입구 증기압 제한기
542,IPR,District Heating,Inlet Pressure Regulator,입구 증기압 조정기
543,IPS,District Heating,Intrusion Prevention System,침입방지시스템
544,IR,District Heating,Infra Red,적외선
545,IRR,District Heating,Internal Rate Of Return,내부수익율법
546,IS,District Heating,Interruptible Switch,인터럽 스위치
547,ISDN,District Heating,Integrated Service Digital Network,종합정보통신망
548,ISO,District Heating,International Organization For Standardization,국제표준화기구
549,Iso.,District Heating,Isometric,"같은 크기(길이, 용적)의"
550,IT,District Heating,Information Technology,정보기술
551,ITB,District Heating,Invitation To Bid(=Instruction to Bid),입찰초청장
552,ITB,District Heating,Invitation To Bid(=Invitation for Tender),입찰안내서
553,ITP,District Heating,Instruction to Proposal,응찰안내서
554,IV,District Heating,Intercept Valve,중압터빈 차단밸브
555,J/B,District Heating,Junction Box,중간 단자함
556,JIS,District Heating,Japanese Industrial Standard,일본공업규격
557,JOP,District Heating,Jacking Oil Pump,재킹오일 펌프
558,JSME,District Heating,Japanese Society Of Mechanical Engineers,일반기계학회
559,KAI,District Heating,Korea Accounting Institute,한국회계연구원
560,KASB,District Heating,Korea Accounting Standards Board,한국회계기준위원회
561,KCSI,District Heating,Korean Customer Satisfaction Index,한국산업의 고객만족도
562,KICPA,District Heating,Korea Institute of Certified Public Accountant,한국공인회계사
563,KM,District Heating,Knowledge Management,지식경영
564,KMS,District Heating,Knowledge Management System,지식경영시스템
565,KPI,District Heating,Key Performance Indicator,핵심성과지표
566,KRI,District Heating,Key Risk Indicator,핵심위험지표
567,KS,District Heating,Korea Industrial Standards,한국산업규격
568,KV,District Heating,Kilo Voltage,"고압(1,000볼트)"
569,KVA,District Heating,Kilo Volt Ampere,피상전력
570,KVAR,District Heating,Kilo Var,무효전력
571,KVD,District Heating,Key Value Driver,핵심가치동인
572,KW,District Heating,Kilo Watt,유효전력
573,kWh,District Heating,Kilo Watt Hour,전력량
574,LA,District Heating,Lightning Arrester,피뢰기
575,LAN,District Heating,Local Area Network,근거리통신망
576,lb,District Heating,Pounds,파운드
577,LC,District Heating,Load Center,전원공급실(전기실)
578,L/C,District Heating,Letter Of Credit,신용장
579,LCA,District Heating,Life Cycle Assessment,적극적 환경영향평가법
580,LCC,District Heating,Life Cycle Cost accounting,수명주기원가계산
581,LCO,District Heating,Load Cycling Operation,중간부하운전
582,LCF,District Heating,Low Cycle Fatigue,저주파 피로
583,LCP,District Heating,Local Control Panel ,현장제어반
584,LDT,District Heating,Load Dump Test,부하차단시험
585,LDC,District Heating,Load Duration Curve,부하유지곡선
586,LCV,District Heating,Level Control Valve,수위제어밸브
587,LED,District Heating,Light Emitting Diode,발광다이오드
588,LF,District Heating,Load Factor,부하율
589,LFG,District Heating,Landfill Gas,매립가스
590,LG,District Heating,Level Gauge,수위계
591,LGCM,District Heating,Levelized Generation Cost Method,균등화 발전비용계산법
592,LHV,District Heating,Low Heating Value,저위발열량
593,L/I,District Heating,Letter Of Intent,계약의향서
594,LIT,District Heating,Level Indicator Transmitter,수위전송기
595,LL,District Heating,Low Level,최저수위
596,LL,District Heating,Low Low,저수위
597,LLM,District Heating,Load Limiter Motor,부하제한기용 전동기
598,LMTD,District Heating,Logarithmic Mean Temperature Difference,대수평균온도차
599,LNG,District Heating,Liquefied Natural Gas,액화천연가스
600,LO,District Heating,Lubricating Oil,윤활유
601,LO,District Heating,Light Oil,경유
602,LOEP,District Heating,Loss Of Energy Probability,공급지장 에너지확율
603,LOLP,District Heating,Loss Of Load Probability,공급지장 확율
604,LOR,District Heating,Lock Out Relay ,폐쇄계전기
605,LP,District Heating,Low Pressure,저압
606,LPG,District Heating,Liquefied Petroleum Gas,액화석유가스
607,LS,District Heating,Level Switch,수위스위치
608,LS,District Heating,Line Switch,선로개폐기
609,LS,District Heating,Limit Switch,리미트스위치
610,LSC,District Heating,Lump Sum Contract,총가계약
611,LSB,District Heating,Last Stage Blade,터빈 최종단 날개
612,LSI,District Heating,Large Scale Integrated Circuit,고집적회로
613,LST,District Heating,Load Swing Test,부하변동시험
614,LSWR,District Heating,Low Sulphur Waxy Residue,저유황중유
615,LTG,District Heating,Lighting,조명
616,LV,District Heating,Low Voltage,저전압
617,LVDT,District Heating,Linear Variable Differential Transformer,선형가변차동변환기
618,LVL,District Heating,Level,수위
619,M&A,District Heating,Mergers and Acquisitions,기업 인수 합병 
620,MAINT.,District Heating,Maintenance,"정비, 보수"
621,MAN.,District Heating,Manual,수동
622,MAX.,District Heating,Maximum,최대
623,MBB,District Heating,Magnetic Blast Breaker,자기차단기
624,MBO,District Heating,Management by Objective ,목표관리제
625,MBP,District Heating,Mixed Bed Polishing,물처리혼상탑
626,MBR,District Heating,Maximum Boiler Rating,최대증발정격
627,MCB,District Heating,Miniature Circuit Breaker,소형차단기
628,MCC,District Heating,Motor Control Center,전동기제어반
629,MCCB,District Heating,Molded Case Circuit Breaker,배선용차단기
630,MCR,District Heating,Maximum Continuous Rating,최대연속정격
631,MCSG,District Heating,Metal Clad Switchgear,금속폐쇄배전반
632,MCWP,District Heating,Main Cooling Water Pump(=CWP),냉각수펌프
633,MD,District Heating,Man Day,1인1일작업량
634,MD,District Heating,Metal Detector,금속탐지기
635,MDA,District Heating,Multi Dimension Analysis,다중판별분석
636,MDL,District Heating,Master Distribution List,문서배부목록
637,MEB,District Heating,Main Electrical Board,주전기반
638,MECH.,District Heating,Mechanical,기계적인
639,MFG,District Heating,Main Function Group,제어계통의 주기능그룹
640,MFT,District Heating,Master Fuel Trip,주연료 차단장치
641,MGR,District Heating,Maximum Guaranteed Rating,최대보증출력
642,MHC,District Heating,Mechanical Hydraulic Control System,기체유체식 제어계통
643,MHD,District Heating,Magneto Hydro Dynamic,자기유체발전방식
644,MIS,District Heating,Management Information System,경영정보시스템
645,MLV,District Heating,Master Trip Lockout Valve,정지 폐쇄밸브
646,MMF,District Heating,Money Market Fund,수시입출식 투자신탁상품
647,MMDA,District Heating,Money Market Deposit Account,수시입출식 예금상품
648,MOF,District Heating,Metering Oil Fit,계기용 변압변류기
649,MOP,District Heating,Main Oil Pump,주 윤활유 펌프
650,MOV,District Heating,Motor Operated Valve,전동기구동밸브
651,MP,District Heating,Marginal Price,한계가격
652,MPL,District Heating,Master Parts List,주요부품목록
653,MPR,District Heating,Monthly Progress Report,월간진도보고서
654,MR,District Heating,Material Requisition,자재요구서
655,MR,District Heating,Market Research,시장조사
656,MRI,District Heating,Material Receiving Invoice,자재인수서
657,MRR,District Heating,Material Receiving Report,자재인수보고서
658,MS,District Heating,Main Steam,주증기
659,MSOP,District Heating,Main Seal Oil Pump,주 밀봉유 펌프
660,MSP,District Heating,Main Suction Pump,흡입펌프
661,MSV,District Heating,Main Stop Valve,주증기 차단변
662,MT,District Heating,Magnetic Particle Test,자분탐상시험
663,MTBFO,District Heating,Mean Time Between Forced Outage,고장정기간 평균시간
664,MTD,District Heating,Mean Temperature Difference,평균온도차
665,MTR,District Heating,Motor,전동기
666,MTTR,District Heating,Mean Time To Repair,평균정비시간
667,MTV,District Heating,Mechanical Trip Valve,기계식 트립장치
668,MU,District Heating,Make Up,보충수
669,MW,District Heating,Mega Watt,"1,000kW"
670,MWe ,District Heating,Mega Watt Electric,전기출력 메가와트
671,MWh,District Heating,Mega Watt Hour,"1,000kW 시"
672,MWt,District Heating,Mega Watt Thermal,열출력 메가와트
673,MWT,District Heating,Meutralized Water Treatment,중성수 처리
674,NA,District Heating,Non Applicable,해당없음
675,NC,District Heating,Normally Closed,상시닫힘
676,NCR,District Heating,Nominal Continuous Rating,공칭 연속정격
677,NCR,District Heating,Non Conformance Report,부적합지시서
678,NCSI,District Heating,National Customer Satisfaction Index,국가 고객만족지수
679,NDE,District Heating,Non Drive End,구동장치 반대측 단부
680,NDT,District Heating,Non Destructive Test,비파괴검사
681,NEC,District Heating,National Electrical Code,국제전기코드
682,NFB,District Heating,No Fuse Circuit Breaker,배선용차단기
683,NG,District Heating,Natural Gas,천연가스
684,NHR,District Heating,Net Heat Rate,순열소비율
685,NL,District Heating,No Load,무부하
686,NLTC,District Heating,No Load Tap Charger,무부하 탭 절환장치
687,NO,District Heating,Normally Open,상시열림
688,No.,District Heating,Number,번호
689,NOPAT,District Heating,Net Operating Profit After Tax(=NOPLAT),세후 영업이익
690,NOx,District Heating,Nitrogen Oxides,질소산화물
691,NPSH,District Heating,Net Positive Suction Head,유효흡입수두
692,NPV,District Heating,Net Present Value,순현재가치법
693,NR,District Heating,Nominal Rating,공칭정격
694,NRV,District Heating,Non Return Valve,역류방지밸브
695,NSPB,District Heating,Non Segregate Phase Bus,상분리모선
696,NWC,District Heating,Net Working Capital,순운전자금
697,OA,District Heating,Office Automation,사무자동화
698,OCB,District Heating,Oil Circuit Breaker,유입차단기
699,OCR,District Heating,Over Current Relay ,과전류계전기
700,OD,District Heating,Outer Diameter,외경
701,OF,District Heating,Oil Filled Cable,유입케이블
702,OFA,District Heating,Over Fire Air,2차 연소용 공기
703,O/H,District Heating,Overhaul,계획예방정비
704,OJT,District Heating,On The Job Training,현장실무교육
705,OLTC,District Heating,On Load Tap Changer,부하시 탭 절환장치
706,Oper.,District Heating,Operation,운전
707,OPGW,District Heating,Optical Fiber Composit Overhead Ground Wire,광섬유 복합가공지선
708,OR,District Heating,Operating Reserve,운전예비율
709,ORAP,District Heating,Operation Reliability Analysis Program,운전신뢰도분석프로그램
710,OS,District Heating,Over Speed,과속도
711,OSCG.,District Heating,Oscillograph,오실로그래프
712,OT,District Heating,Oil Of Transformer,변압기유
713,OTSV,District Heating,Oil Trip Solenoid Valve,오일트립 전자밸브
714,OTU,District Heating,Once Through Unit,관류형 보일러
715,PA,District Heating,Plant Air,작업용공기
716,PA,District Heating,Partial Arc,부분방전
717,PA,District Heating,Primary Air,1차 공기
718,PAC,District Heating,Plant Air Compressor,작업용 공기압축기
719,PAF,District Heating,Primary Air Fan,1차 공기 통풍기
720,PB,District Heating,Push Button,누름스위치
721,PB,District Heating,Project Budgeting,사업예산
722,PB,District Heating,Payback Period ,회수기간
723,PBR,District Heating,Price/Book Value Ratio,주가장부가치비율
724,PCB,District Heating,Printed Circuit Board,인쇄회로기판
725,PCB,District Heating,Power Circuit Breaker,전력용 차단기
726,PCP,District Heating,Pendant Convection Pass,수직형 대류통로
727,PCSI,District Heating,Public-service Customer Satisfaction Index,공공서비스 고객만족도지수
728,PCV,District Heating,Pressure Control Valve,압력제어밸브
729,PDCV,District Heating,Pressure Differential Control Valve,차압유량조절밸브
730,PDL,District Heating,Project Distribution List,문서배분기준
731,PDS,District Heating,Procurement Delivery Schedule,자재인도공정표
732,PDS,District Heating,Procurement Detail Schedule,구매시행공정표
733,PE,District Heating,Project Engineer,사업관리 담당자
734,PEM,District Heating,Primary Event Monitor,주요 고장 감시장치
735,PER,District Heating,Price Earning Ratio,주가수익율
736,PERT,District Heating,Program Evaluation & Review Technique,프로그램 평가검토 기법
737,PF,District Heating,Power Factor,역률
738,PF,District Heating,Plant Factor,발전율
739,PF,District Heating,Project Financing,프로젝트 파이낸싱
740,PFBC,District Heating,Pressurized Fluidizing Bed Combustion,가압유동층연소
741,pH,District Heating,Hydrogen Exponent,수소이온농도지수
742,PI,District Heating,Pressure Indicator,압력계
743,PI,District Heating,Price Index,물가지수
744,PI,District Heating,Preliminary Issue,예비설계결과물 발행 (승인용)
745,PI,District Heating,Process Innovation,프로세스혁신
746,P&ID,District Heating,Piping & Instrument Diagram ,배관 및 계측도
747,PID,District Heating,Proportional Integrated Differential,"비례, 적분 미분동작"
748,PIM,District Heating,Pre Inspection Meeting,사전검사회의
749,PIT,District Heating,Pressure Indicator Transmitter,압력전송기
750,P/L,District Heating,Pipe Line,배관
751,P/L,District Heating,Packing List,포장명세서
752,PM,District Heating,Preventive Maintenance,예방정비
753,PM,District Heating,Project Manager,사업관리 책임자
754,PM,District Heating,Project Management,사업관리
755,PM,District Heating,Pollution Minimum,저공해 연소설비
756,PMS,District Heating,Project Master Schedule,주공정표(=기본공정표)
757,PMS,District Heating,Project Management System,사업관리체계
758,PMS,District Heating,Project Milestone Schedule,기본공정표
759,PMG,District Heating,Permanent Magnetic Generator,영구자석발전기
760,PNL,District Heating,Panel,배전반
761,PNS,District Heating,Project Numbering System,사업번호체계
762,PO,District Heating,Purchase Order,구매지시서
763,PO,District Heating,Booster Pump Operator,가압장 운영요원
764,PO No.,District Heating,Purchase Order Item Number,구매규격서 항목번호
765,POR,District Heating,Purchase Order Requisition,구매지시 요구서
766,PO Spec.,District Heating,Purchase Order Specification,구매규격서
767,P/P,District Heating,Power Plant,발전소
768,Pp,District Heating,PumP,펌프
769,PPA,District Heating,Power Purchase Agreement,전력수급계약
770,PPB,District Heating,Parts Per Billion,10억분의 1
771,PPM,District Heating,Parts Per Million,백만분의 1
772,PPM,District Heating,Project Procedure Manual,사업수행절차서
773,PQ,District Heating,Pre-qualification,사전자격심사
774,PR,District Heating,Progress Report,진도보고서
775,Pr.,District Heating,Pressure,압력
776,PRM,District Heating,Project Review Meeting,사업추진회의
777,PS,District Heating,Pressure Switch,압력스위치
778,PS,District Heating,Power Supply,전원공급장치
779,PSH,District Heating,Primary Super Heater,1차 과열기
780,PSR,District Heating,Price/Sales Ratio,주가매출비율
781,PSS,District Heating,Project Summary Schedule,프로젝트 종합공정표
782,PSS,District Heating,Power Stability System,계통안정화장치
783,PSS,District Heating,Plant Automation Start Up & Shut Down,발전소 자동 기동정지장치
784,PT,District Heating,Performance Test,성능시험
785,PT,District Heating,Potential Transformer,계기용변압기
786,PTC,District Heating,Performance Test Code,성능시험코드
787,PTR,District Heating,Pole Transformer,주상변압기
788,PU,District Heating,Pick Up,측정소자
789,PV,District Heating,Present Value Method,현재가치법
790,PVC,District Heating,Process Video Control System,발전소 화상제어장치
791,PVC,District Heating,Poly Vinyl Chloride,폴리 염화비닐
792,PWR,District Heating,Power,전원
793,QA,District Heating,Quality Assurance,품질보증
794,QAM,District Heating,Quality Assurance Manual,품질보증 계획서
795,QAP,District Heating,Quality Assurance Procedure,품질보증 절차서
796,QC,District Heating,Quality Control,품질관리
797,QMI,District Heating,Quick Market Intelligence,신속한 시장정보
798,QP,District Heating,Quality Planning,품질계획수립
799,QP,District Heating,Quality Policy,품질정책
800,QS,District Heating,Quick Start,급속기동
801,QS,District Heating,Quality Surveillance,품질검사
802,Qty.,District Heating,Quantity,수량
803,QVDL,District Heating,Quality Verification Documents List,품질확인서
804,R,District Heating,Resistor,저항기
805,RAM,District Heating,Random Access Memory,컴퓨터 기억장치
806,RAM,District Heating,Reliability Availability Maintainability,"신뢰성, 유용성, 정비성"
807,RB,District Heating,Run Back,출력 급감발
808,RBLR.,District Heating,Reboiler(Steam Converter),보조증기 발생기
809,RC,District Heating,Re-Closer,재폐로기
810,RCM,District Heating,Reliability Centered Maintenance,신뢰도 중심정비
811,RCR,District Heating,Reverse Current Relay,역상전류계전기
812,RCV,District Heating,Reheat Control Valve,재열증기 제어밸브
813,R&D,District Heating,Research & Development,연구개발
814,RDF,District Heating,Refuse Derived Fuel,쓰레기 연료
815,RDU,District Heating,Remaining Duration,잔여기간 (공기)
816,Recir.,District Heating,Recirculation,재순환
817,Ref.,District Heating,Reference,"기준, 참고"
818,Regen.,District Heating,Regeneration,재생
819,Rev.,District Heating,Revision,수정
820,Rev.,District Heating,Revolution,회전수
821,RFID,District Heating,Radio Frequency Identification,무선주파수식별
822,RFP,District Heating,Request For Proposal,입찰권유서
823,RFV,District Heating,Reverse Flow Valve,역류밸브
824,R/H,District Heating,Reheater,재열기
825,RM,District Heating,Risk Management,위험관리
826,ROA,District Heating,Return On Assets,총자산순이익율
827,ROE,District Heating,Return On Equity,자기자본순이익률
828,ROI,District Heating,Return on Investment,투자수익률
829,ROIC,District Heating,Return On Invested Capital,투하자본수익률
830,RP,District Heating,Repurchase Agreement Repo,환매조건부채권
831,RPA,District Heating,Renewable Portfolio Agreement,신재생에너지 공급참여 협약
832,RPS,District Heating,Renewable Portfolio Standards,신재생에너지 발전의무비율할당제
833,ROP,District Heating,Relay Oil Pump,릴레이 오일펌프
834,RPM,District Heating,Revolutions Per Minutes,분당회전수
835,RSI,District Heating,Rotor Stress Indicator,터빈회전자 응력지시계
836,RSOP,District Heating,Recirculation Seal Oil Pump,재순환밀봉유펌프
837,RSV,District Heating,Reheat Stop Valve,재열증기 차단밸브
838,RT,District Heating,Radio Graphic Test,방사선투과검사
839,RTD,District Heating,Resistance Temperature Detector,저항온도검출기
840,RTU,District Heating,Remote Terminal Unit,원격단말장치
841,RVR,District Heating,Reverse Voltage Relay,역상전압계전기
842,RW,District Heating,Raw Water,원수
843,Ry,District Heating,Relay,계전기
844,SA,District Heating,Service Air,작업용공기
845,SA,District Heating,Surge Arrestor,피뢰기
846,SA,District Heating,Seal Air,밀봉용증기
847,SA,District Heating,Steam Admission,통기(증기터빈에 증기인입)
848,SAC,District Heating,Service Air Compressor,작업용공기압축기
849,SAF,District Heating,Seal Air Fan,밀봉용 공기통풍기
850,SAH,District Heating,Steam Air Heater,증기식 공기예열기
851,Sat.,District Heating,Saturation,포화
852,S/B,District Heating,Soot Blower,보일러 제매장치
853,SB,District Heating,Switch Board,배전반
854,SC,District Heating,Static Condenser,축전지
855,SCADA,District Heating,Supervisory Control & Data Acquisition,지역급전시스템
856,SCAM,District Heating,System Cost Analysis Method,계통비용분석법
857,Scav.,District Heating,Scavenge,배기
858,SCC,District Heating,Stress Corrosion Crack,응력부식균열
859,Sch.,District Heating,Schedule,계획
860,SCM,District Heating,Supply Chain Management,공급사슬관리(경영혁신)
861,SCO,District Heating,State Controller With Observer,상태변수제어기
862,SCR,District Heating,Selective Catalytic Reduction,선택적 촉매환원
863,SCR,District Heating,Silicone Controlled Rectifier,실리콘정류기
864,SCSF,District Heating,Single Casing Single Flow,단통 단류터빈
865,SCWP,District Heating,Stator Cooling Water Pump,발전기고정자 냉각수펌프
866,SDB,District Heating,Signal Distribution Board,신호분배반
867,SDD,District Heating,Steam Dumping Device,증기우회 배출장치
868,SDDR,District Heating,Supplier Deviation Disposition Request,공급자 변경요구서
869,SDDR,District Heating,Supplier Drawings & Documents Review,공급자 도면/자료 검토
870,SEC,District Heating,Securities and Exchange Commission,미국증권거래위원회
871,SEM,District Heating,Strategic Enterprise Management,전략경영
872,SEP.,District Heating,Separator,분리기
873,SER,District Heating,Sequence Of Event Recoder,순차사고기록계
874,SFC,District Heating,Static Frequency Converter,정지형 주파수 변환장치
875,SG,District Heating,Steam Generator,증기발생기
876,S/H,District Heating,Super Heater,과열기
877,SHRM,District Heating,Society for Human Resource Management,전략적 인적자원관리
878,SIT,District Heating,Sharpy Impact Test,충격시험
879,SLA,District Heating,Service Level Agreement,서비스 수준관리
880,SM ,District Heating,Starting Motor,기동용전동기
881,SMP,District Heating,System Marginal Price,계통한계가격
882,SMS,District Heating,Short Message Service,단문메세지서비스
883,S/N,District Heating,Shipping Notice,선적통보서
884,SNCR,District Heating,Selective Non Catalytic Reduction,선택적 비촉매환원
885,SO,District Heating,System Operation,계통운영
886,SOA,District Heating,Sarbanes Oxley Act,미국의 회계개혁법
887,Sol.,District Heating,Solenoid,솔레노이드
888,SOP,District Heating,Seal Oil Pump,밀봉유펌프
889,SORP,District Heating,Seal Oil Recirculation Pump,밀봉유 순환펌프
890,SOx,District Heating,Sulfur Oxides,황산화물
891,S/P,District Heating,Spare Parts,정비예비품
892,SP,District Heating,Spining Reserve,순동예비력
893,Spec.,District Heating,Specifications,시방서 (기술규격서)
894,SPD.,District Heating,Speed,속도
895,SPM,District Heating,Strategy Performance Management,성과관리
896,SR,District Heating,Shunt Reactor,분로리엑터
897,S/S,District Heating,Substation,변전소
898,SS,District Heating,Selector Switch,선택스위치
899,SS,District Heating,Suspended Solid,부유물질
900,SSD,District Heating,Static Starting Device,가스터빈 정지현 기동장치
901,SSFV,District Heating,Seal Steam Feed Valve,밀봉증기 공급밸브
902,SSG,District Heating,Speed Single Generator,전자식 조속기
903,SSH,District Heating,Secondary Superheater,2차 과열기
904,SSR,District Heating,Steam Seal Regulator,밀봉증기 조정기
905,SST,District Heating,Solid State Trip Device,전자식 트립장치
906,S/T,District Heating,Steam Turbine,증기터빈
907,STD,District Heating,Standard,표준
908,STG.,District Heating,Stage,단(段)
909,STM,District Heating,Steam,증기
910,STR,District Heating,Strainer,여과기
911,Su,District Heating,Start-up ,기동
912,Suc.,District Heating,Suction,"흡입구, 입구측"
913,SUS,District Heating,Stainless Steel,스테인레스강
914,SUT ,District Heating,Start-up Transformer,기동변압기
915,SV,District Heating,Solenoid Valve,전자밸브
916,SV,District Heating,Stop Valve,차단밸브
917,SV,District Heating,Safety Valve,안전밸브
918,S/W,District Heating,Switch,스위치
919,SWGR,District Heating,Switch Gear,스위치기어
920,SYN.,District Heating,Synchronization,계통병입
921,SYS.,District Heating,System,계통
922,6 SIGMA,District Heating,6 Sigma Management,6시그마경영
923,TAT,District Heating,Turbine After Temperature,G/T 출구 가스온도
924,TB,District Heating,Terminal Board,단자대
925,TBN,District Heating,Turbine,터빈
926,T/C,District Heating,Thermo Couple,온도검출소자
927,TCQF,District Heating,Tandem Compound Quadruple Flow,직렬 단류터빈
928,TCO,District Heating,"TBN/GEN, DH Control Operator","터빈, 열공급설비 제어 운전원"
929,TCP,District Heating,Turbine Control Panel ,터빈제어판넬
930,TCV,District Heating,Temperature Control Valve,온도제어밸브
931,TDDO,District Heating,Time Delay Drop Out,한시복귀
932,TDO,District Heating,"TBN/GEN, Auxiliary DH Operator","터빈, 열공급설비 보조 운전원"
933,TDPU,District Heating,Time Delay Pick Up,한시동작
934,TDR,District Heating,Turn Down Ratio,계절별 수요격차
935,TDV,District Heating,Three Way Diverting Valve,3로 전환밸브
936,TE,District Heating,Temperature Element,온도검출소자
937,Temp.,District Heating,Temperature,온도
938,TEP,District Heating,Turbine End Point,터빈종단점
939,T/G,District Heating,Turbine Generator,터빈발전기
940,TGOP,District Heating,Turning Gear Oil Pump,터닝기어 오일펌프
941,TIP,District Heating,Turbine Insert Panel ,터빈인서트판넬
942,TIT,District Heating,Temperature Indicator Transmitter,온도전송기
943,TIT,District Heating,Turbine Inlet Temperature,G/T 입구 가스온도
944,T/L,District Heating,Transmission Line,송전선로
945,TLD,District Heating,Thermo Luminescence Dosimeter,열형 광선량계
946,TM,District Heating,Trouble Memo,정비의뢰서
947,TMS,District Heating,Telemetry Monitoring System,배출가스 자동측정기
948,T/O,District Heating,Turn Over(↔Take Over),인도(인수/인계/이관)
949,TOE,District Heating,Ton Of Oil Equivalent,석유환산톤
950,T/P,District Heating,Thermal Plant,화력발전소
951,TPM,District Heating,Total Project Management,종합사업관리
952,TR.,District Heating,Transformer,변압기
953,TR.,District Heating,Transistor,트랜지스터
954,TS,District Heating,Temperature Switch,온도스위치
955,TQC,District Heating,Total Quality Control(=TQM),종합적 품질관리 
956,TQM,District Heating,Total Quality Management,종합적 품질관리
957,TTD,District Heating,Time Temperature Difference,종단온도차
958,TTP,District Heating,Time Temperature Parameter,"시간, 온도변수"
959,TW,District Heating,Thermo Well,온도보호기
960,TWBP,District Heating,Two Way Bidding Pool,양방향 입찰시장
961,TWI,District Heating,Turbine Water Induction,터빈물유입
962,UA,District Heating,Unloading Arm,유류하역기
963,UCC,District Heating,Unit Coordinator Control System,보일러-터빈 협조제어
964,UCR,District Heating,Under Current Relay,저전류계전기
965,UEEP,District Heating,Used Energy End Point,사용증기종단점(증기팽창선)
966,UEL,District Heating,Under Excitation Limiter,저여자제한기
967,UF,District Heating,Utility Factor,이용율
968,UFR,District Heating,Under Frequency Relay,저주파수 계전기
969,UH,District Heating,Unit Heater,소내 난방장치
970,UHF,District Heating,Ultra High Frequency,극초단파
971,UHV,District Heating,Ultra High Voltage,초초고압
972,ULD,District Heating,Unit Load Demand,발전소 출력요구신호
973,ULTC,District Heating,Under Load Tap Changer,부하시 탭 전환장치
974,UMC,District Heating,Unit Master Controller,발전소 주제어기
975,UNEP,District Heating,United Nations Environment Program,유엔환경계획
976,UPR,District Heating,Upper,상부
977,UPS,District Heating,Uninterrupted Power Supply,무정전전원장치
978,URAL,District Heating,Under Excited Reactive Ampere Limiter,저여자 무효전류 제한장치
979,USC,District Heating,Ultra Supercritical Pressure,초초임계압
980,UT,District Heating,Ultrasonic Test,초음파시험
981,UV,District Heating,Ultra Violet,자외선
982,UVR,District Heating,Under Voltage Relay,저전압계전기
983,V,District Heating,Volt,전압
984,VA,District Heating,Voluntary Agreement,자발적협약
985,VAC,District Heating,Volts Alternating Current,교류전압
986,Vac.,District Heating,Vacuum,진공
987,VAN,District Heating,Value Added Network,부가가치 통신망
988,VAS,District Heating,Vibration Analysis System,진동분석장치
989,VBM,District Heating,Value Based Management,가치중심경영
