순번,용어,분야,영문,설명
108,BFBP,District Heating,Boiler Feed Booster Pump,보일러급수 승압펌프
109,BFP,District Heating,Boiler Feed Water Pump,보일러 급수펌프
110,BHK,District Heating,Babcock Hitachi Kabusiki Kaisha ,일본발전설비제작업체
111,BI,District Heating,Bidder Information,입찰유의서
112,BI,District Heating,Business Intelligence,기업정보
113,BI,District Heating,Brand Identity,브랜드이미지 통일화
114,BL,District Heating,Battery Limit,공사경계선
115,B/L,District Heating,Bill Of Lading,선하증권
116,BLR,District Heating,Boiler,보일러
117,BM,District Heating,Bill Of Material,자재명세서
118,BM,District Heating,Bench Mark ,기준점
119,BMCR,District Heating,Boiler Maximum Continuous Rating ,보일러 연속 최대증발량
120,BMS,District Heating,Burner Management System,버너관리설비
121,BNK,District Heating,Bunker,"저장조, 벙커"
122,BNR,District Heating,Burner,버너
123,BO,District Heating,Boiler Operator,보일러 현장운영요원
124,BOD,District Heating,Biochemical Oxygen Demand,생화학적 산소요구량
125,BOG,District Heating,Boil Off Gas,LNG증발가스
126,BOP,District Heating,Balance Of Plant,보조기기
127,BP,District Heating,Best Practice,베스트 프랙티스
128,BPD,District Heating,Barrel Per Day,일일 사용배럴
129,BPM,District Heating,Business Performance Management,업무성과관리
130,BPO,District Heating,Business Process Outsourcing,업무처리 아웃소싱
131,BPR,District Heating,Business Process Re-engineering,업무재설계
132,BPS,District Heating,Business Planning & Simulation,사업계획 시뮬레이션
133,B/Q,District Heating,Bill Of Quantities,수량명세서
134,BRG,District Heating,Bearing,베어링
135,BRK,District Heating,Breaker,차단기
136,BS,District Heating,British Standard,영국표준규격
137,BS,District Heating,Bore Scope,내시경
138,BSC,District Heating,Balanced Scorecard ,균형성과지표
139,BSCA,District Heating,Boiler Stress & Condition Analyzer,보일러 열응력 및 상태분석장치
140,BSP,District Heating,Burner Start Panel,버너제어판넬
141,BT,District Heating,Bourdon Tube,부르돈 관
142,BTO,District Heating,Business Transformation Outsourcing,업무변혁 아웃소싱
143,BTV,District Heating,Bleeder Trip Valve,추기 차단밸브
144,BUOT,District Heating,Back Up Overspeed Trip,터빈 후비보호 과속도 정지
145,BW,District Heating,Business Warehouse(=DW),사내 데이터창고
146,BWCP,District Heating,Boiler Water Circulation Pump,보일러순환펌프
147,C,District Heating,Capacitor ,콘덴서
148,CA,District Heating,Customer Analysis,고객분석
149,CA,District Heating,Chang Agent,변화관리자
150,CAD,District Heating,Cold Air Damper,저온공기댐퍼
151,CAD/CAM,District Heating,Computer Aided Design/Manufacturing,검퓨터 설계/제작
152,Cap.,District Heating,Capacity ,용량
153,CAP,District Heating,Change Acceleration Process,변혁가속화 프로세스
154,CAR,District Heating,Correct Action Request,시정조치요구서
